,,high,neutral,low,average
ABTB2,ENSG00000166016.4,23.0,85.0,14.0,0.12836885245901639
ACA59,ENSG00000251775.1,13.0,99.0,10.0,0.039336065573770486
ACA59,ENSG00000252000.1,9.0,99.0,14.0,0.049639344262295076
ACA59,ENSG00000252870.1,3.0,69.0,50.0,-0.18558196721311476
ACA64,ENSG00000238685.1,35.0,79.0,8.0,0.18376229508196715
ACA64,ENSG00000238934.1,86.0,35.0,1.0,0.5376311475409836
ACA64,ENSG00000239005.1,5.0,96.0,21.0,-0.04325409836065573
ACA64,ENSG00000252119.1,2.0,72.0,48.0,-0.18640163934426224
ACAA1,ENSG00000060971.13,9.0,94.0,19.0,-0.007073770491803286
ACAA2,ENSG00000167315.13,13.0,75.0,34.0,-0.028901639344262306
ACACA,ENSG00000132142.15,20.0,69.0,33.0,0.047327868852459
ACACB,ENSG00000076555.11,3.0,99.0,20.0,-0.05360655737704916
ACAD10,ENSG00000111271.10,3.0,95.0,24.0,-0.0695655737704918
ACAD11,ENSG00000240303.3,17.0,99.0,6.0,0.1008688524590164
ACAD8,ENSG00000151498.7,2.0,71.0,49.0,-0.16799180327868848
ACAD9,ENSG00000177646.13,16.0,98.0,8.0,0.06641803278688525
ACADL,ENSG00000115361.3,8.0,97.0,17.0,-0.0012540983606557387
ACADM,ENSG00000117054.9,11.0,93.0,18.0,0.0006557377049180248
ACADS,ENSG00000122971.4,4.0,93.0,25.0,-0.07102459016393445
ACADSB,ENSG00000196177.8,6.0,96.0,20.0,-0.03113934426229507
ACADVL,ENSG00000072778.15,4.0,55.0,63.0,-0.19701639344262292
ACAN,ENSG00000157766.11,11.0,89.0,22.0,-0.032450819672131155
ACAP1,ENSG00000072818.7,5.0,56.0,61.0,-0.1842868852459016
ACAP2,ENSG00000114331.8,22.0,88.0,12.0,0.09026229508196719
ACAP3,ENSG00000131584.14,24.0,50.0,48.0,-0.06902459016393443
ACAT1,ENSG00000075239.9,2.0,69.0,51.0,-0.19709016393442627
ACAT2,ENSG00000120437.7,11.0,84.0,27.0,-0.022204918032786895
ACBD3,ENSG00000182827.8,80.0,40.0,2.0,0.5243278688524589
ACBD4,ENSG00000181513.10,13.0,74.0,35.0,-0.06372131147540984
ACBD5,ENSG00000107897.14,19.0,88.0,15.0,0.06319672131147541
ACBD6,ENSG00000135847.5,78.0,43.0,1.0,0.5047377049180328
ACBD7,ENSG00000176244.6,22.0,88.0,12.0,0.12868852459016403
ACCS,ENSG00000110455.9,14.0,91.0,17.0,0.028114754098360634
ACCSL,ENSG00000205126.2,14.0,91.0,17.0,0.028114754098360634
ACD,ENSG00000102977.9,7.0,49.0,66.0,-0.23072131147540983
ACE,ENSG00000159640.10,36.0,72.0,14.0,0.2840245901639344
ACER1,ENSG00000167769.4,11.0,92.0,19.0,0.01632786885245901
ACER2,ENSG00000177076.4,4.0,82.0,36.0,-0.0805409836065574
ACER3,ENSG00000078124.7,18.0,85.0,19.0,0.15495901639344262
ACHE,ENSG00000087085.9,20.0,81.0,21.0,0.059778688524590166
ACIN1,ENSG00000100813.10,11.0,80.0,31.0,-0.007204918032786887
ACKR2,ENSG00000144648.9,6.0,93.0,23.0,-0.04405737704918033
ACKR3,ENSG00000144476.5,8.0,92.0,22.0,-0.008885245901639338
ACKR4,ENSG00000129048.6,17.0,99.0,6.0,0.10025409836065574
ACKR5,ENSG00000121797.9,6.0,88.0,28.0,-0.06595081967213114
ACKR6,ENSG00000091622.11,3.0,54.0,65.0,-0.21761475409836062
